
WLA DX: SPC-700 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
~ = direct page (affects the opcode)


"ADC (X),(Y)" $99
"ADC A,!?" $85
"ADC A,!?+X" $95
"ADC A,!?+Y" $96
"ADC A,#x" $88
"ADC A,(X)" $86
"ADC A,[x+X]" $87
"ADC A,[x]+Y" $97
"ADC A,x" $84
"ADC A,x+X" $94
"ADC x,#x" $98
"ADC x,x" $89
"ADDW YA,x" $7a
"AND (X),(Y)" $39
"AND A,!?" $25
"AND A,!?+X" $35
"AND A,!?+Y" $36
"AND A,#x" $28
"AND A,(X)" $26
"AND A,[x+X]" $27
"AND A,[x]+Y" $37
"AND A,x" $24
"AND A,x+X" $34
"AND x,#x" $38
"AND x,x" $29
"AND1 C,/?.~" $6a
"AND1 C,?.~" $4a
"ASL !?" $0c
"ASL A" $1c
"ASL x" $0b
"ASL x+X" $1b
"BBC x.~,x" $03
"BBS x.~,x" $03
"BCC x" $90
"BCS x" $b0
"BEQ x" $f0
"BMI x" $30
"BNE x" $d0
"BPL x" $10
"BRA x" $2f
"BRK" $0f
"BVC x" $50
"BVS x" $70
"CALL !?" $3f
"CBNE x+X,x" $de
"CBNE x,x" $2e
"CLR1 x,~" $02
"CLR1 x.~" $02
"CLRC" $60
"CLRP" $20
"CLRV" $e0
"CMP (X),(Y)" $79
"CMP A,!?" $65
"CMP A,!?+X" $75
"CMP A,!?+Y" $76
"CMP A,#x" $68
"CMP A,(X)" $66
"CMP A,[x+X]" $67
"CMP A,[x]+Y" $77
"CMP A,x" $64
"CMP A,x+X" $74
"CMP X,!?" $1e
"CMP X,#x" $c8
"CMP X,x" $3e
"CMP Y,!?" $5e
"CMP Y,#x" $ad
"CMP Y,x" $7e
"CMP x,#x" $78
"CMP x,x" $69
"CMPW YA,x" $5a
"DAA A" $df
"DAA" $df
"DAS A" $be
"DAS" $be
"DBNZ Y,x" $fe
"DBNZ x,x" $6e
"DEC !?" $8c
"DEC A" $9c
"DEC X" $1d
"DEC Y" $dc
"DEC x" $8b
"DEC x+X" $9b
"DECW x" $1a
"DI" $c0
"DIV YA,X" $9e
"EI" $a0
"EOR (X),(Y)" $59
"EOR A,!?" $45
"EOR A,!?+X" $55
"EOR A,!?+Y" $56
"EOR A,#x" $48
"EOR A,(X)" $46
"EOR A,[x+X]" $47
"EOR A,[x]+Y" $57
"EOR A,x" $44
"EOR A,x+X" $54
"EOR x,#x" $58
"EOR x,x" $49
"EOR1 C,?.~" $8a
"INC !?" $ac
"INC A" $bc
"INC X" $3d
"INC Y" $fc
"INC x" $ab
"INC x+X" $bb
"INCW x" $3a
"JMP !?" $5f
"JMP [!?+X]" $1f
"LSR !?" $4c
"LSR A" $5c
"LSR x" $4b
"LSR x+X" $5b
"MOV !?+X,A" $d5
"MOV !?+Y,A" $d6
"MOV !?,A" $c5
"MOV !?,X" $c9
"MOV !?,Y" $cc
"MOV (X)+,A" $af
"MOV (X),A" $c6
"MOV A,!?" $e5
"MOV A,!?+X" $f5
"MOV A,!?+Y" $f6
"MOV A,#x" $e8
"MOV A,(X)" $e6
"MOV A,(X)+" $bf
"MOV A,X" $7d
"MOV A,Y" $dd
"MOV A,[x+X]" $e7
"MOV A,[x]+Y" $f7
"MOV A,x" $e4
"MOV A,x+X" $f4
"MOV SP,X" $bd
"MOV X,!?" $e9
"MOV X,#x" $cd
"MOV X,A" $5d
"MOV X,SP" $9d
"MOV X,x" $f8
"MOV X,x+Y" $f9
"MOV Y,!?" $ec
"MOV Y,#x" $8d
"MOV Y,A" $fd
"MOV Y,x" $eb
"MOV Y,x+X" $fb
"MOV [x+X],A" $c7
"MOV [x]+Y,A" $d7
"MOV x+X,A" $d4
"MOV x+X,Y" $db
"MOV x+Y,X" $d9
"MOV x,#x" $8f
"MOV x,A" $c4
"MOV x,X" $d8
"MOV x,Y" $cb
"MOV x,x" $fa
"MOV1 ?.~,C" $ca
"MOV1 C,?.~" $aa
"MOVW YA,x" $ba
"MOVW x,YA" $da
"MUL YA" $cf
"NOP" $00
"NOT1 ?.~" $ea
"NOTC" $ed
"OR (X),(Y)" $19
"OR A,!?" $05
"OR A,!?+X" $15
"OR A,!?+Y" $16
"OR A,#x" $08
"OR A,(X)" $06
"OR A,[x+X]" $07
"OR A,[x]+Y" $17
"OR A,x" $04
"OR A,x+X" $14
"OR x,#x" $18
"OR x,x" $09
"OR1 C,/?.~" $2a
"OR1 C,?.~" $0a
"PCALL x" $4f
"POP A" $ae
"POP PSW" $8e
"POP X" $ce
"POP Y" $ee
"PUSH A" $2d
"PUSH PSW" $0d
"PUSH X" $4d
"PUSH Y" $6d
"RET" $6f
"RETI" $7f
"ROL !?" $2c
"ROL A" $3c
"ROL x" $2b
"ROL x+X" $3b
"ROR !?" $6c
"ROR A" $7c
"ROR x" $6b
"ROR x+X" $7b
"SBC (X),(Y)" $b9
"SBC A,!?" $a5
"SBC A,!?+X" $b5
"SBC A,!?+Y" $b6
"SBC A,#x" $a8
"SBC A,(X)" $a6
"SBC A,[x+X]" $a7
"SBC A,[x]+Y" $b7
"SBC A,x" $a4
"SBC A,x+X" $b4
"SBC x,#x" $b8
"SBC x,x" $a9
"SET1 x,~" $02
"SET1 x.~" $02
"SETC" $80
"SETP" $40
"SLEEP" $ef
"STOP" $ff
"SUBW YA,x" $9a
"TCALL ~" $01
"TCLR1 !?" $4e
"TSET1 !?" $0e
"XCN A" $9f
