
WLA DX: 65816 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
& = 24bit



"LSR ?,X" $5E
"LSR A" $4A
"LSR x" $46
"LSR x,X" $56
"LSR |?" $4E
"LSR |?,X" $5E
"LSR" $4A
"MVN <x,<x" $54
"MVN ?" $54
"MVN x,x" $54
"MVP <x,<x" $44
"MVP ?" $44
"MVP x,x" $44
"NOP" $EA
"ORA #x" $09
"ORA &" $0F
"ORA &,X" $1F
"ORA (<x)" $12
"ORA (<x),Y" $11
"ORA (<x,S),Y" $13
"ORA (<x,X)" $01
"ORA (x)" $12
"ORA (x),Y" $11
"ORA (x,S),Y" $13
"ORA (x,X)" $01
"ORA <x" $05
"ORA <x,S" $03
"ORA <x,X" $15
"ORA >&" $0F
"ORA >&,X" $1F
"ORA ?" $0D
"ORA ?,X" $1D
"ORA ?,Y" $19
"ORA [<x]" $07
"ORA [<x],Y" $17
"ORA [x]" $07
"ORA [x],Y" $17
"ORA x" $05
"ORA x,S" $03
"ORA x,X" $15
"ORA |?" $0D
"ORA |?,X" $1D
"ORA |?,Y" $19
"PEA ?" $F4
"PEA |?" $F4
"PEI (<x)" $D4
"PEI (x)" $D4
"PER ?" $62
"PER |?" $62
"PHA" $48
"PHB" $8B
"PHD" $0B
"PHK" $4B
"PHP" $08
"PHX" $DA
"PHY" $5A
"PLA" $68
"PLB" $AB
"PLD" $2B
"PLP" $28
"PLX" $FA
"PLY" $7A
"REP #x" $C2
"ROL <x" $26
"ROL <x,X" $36
"ROL ?" $2E
"ROL ?,X" $3E
"ROL A" $2A
"ROL x" $26
"ROL x,X" $36
"ROL |?" $2E
"ROL |?,X" $3E
"ROL" $2A
"ROR <x" $66
"ROR <x,X" $76
"ROR ?" $6E
"ROR ?,X" $7E
"ROR A" $6A
"ROR x" $66
"ROR x,X" $76
"ROR |?" $6E
"ROR |?,X" $7E
"ROR" $6A
"RTI" $40
"RTL" $6B
"RTS" $60
"SBC #x" $E9
"SBC &" $EF
"SBC &,X" $FF
"SBC (<x)" $F2
"SBC (<x),Y" $F1
"SBC (<x,S),Y" $F3
"SBC (<x,X)" $E1
"SBC (x)" $F2
"SBC (x),Y" $F1
"SBC (x,S),Y" $F3
"SBC (x,X)" $E1
"SBC <x" $E5
"SBC <x,S" $E3
"SBC <x,X" $F5
"SBC >&" $EF
"SBC >&,X" $FF
"SBC ?" $ED
"SBC ?,X" $FD
"SBC ?,Y" $F9
"SBC [<x]" $E7
"SBC [<x],Y" $F7
"SBC [x]" $E7
"SBC [x],Y" $F7
"SBC x" $E5
"SBC x,S" $E3
"SBC x,X" $F5
"SBC |?" $ED
"SBC |?,X" $FD
"SBC |?,Y" $F9
"SEC" $38
"SED" $F8
"SEI" $78
"SEP #x" $E2
"STA &" $8F
"STA &,X" $9F
"STA (<x)" $92
"STA (<x),Y" $91
"STA (<x,S),Y" $93
"STA (<x,X)" $81
"STA (x)" $92
"STA (x),Y" $91
"STA (x,S),Y" $93
"STA (x,X)" $81
"STA <x" $85
"STA <x,S" $83
"STA <x,X" $95
"STA >&" $8F
"STA >&,X" $9F
"STA ?" $8D
"STA ?,X" $9D
"STA ?,Y" $99
"STA [<x]" $87
"STA [<x],Y" $97
"STA [x]" $87
"STA [x],Y" $97
"STA x" $85
"STA x,S" $83
"STA x,X" $95
"STA |?" $8D
"STA |?,X" $9D
"STA |?,Y" $99
"STP" $DB
"STX <x" $86
"STX ?" $8E
"STX x" $86
"STX x,Y" $96
"STX |?" $8E
"STY <x" $84
"STY ?" $8C
"STY x" $84
"STY x,X" $94
"STY |?" $8C
"STZ <x" $64
"STZ <x,X" $74
"STZ ?" $9C
"STZ ?,X" $9E
"STZ x" $64
"STZ x,X" $74
"STZ |?" $9C
"STZ |?,X" $9E
"SWA" $EB
"TAD" $5B
"TAS" $1B
"TAX" $AA
"TAY" $A8
"TCD" $5B
"TCS" $1B
"TDA" $7B
"TDC" $7B
"TRB <x" $14
"TRB ?" $1C
"TRB x" $14
"TRB |?" $1C
"TSA" $3B
"TSB <x" $04
"TSB ?" $0C
"TSB x" $04
"TSB |?" $0C
"TSC" $3B
"TSX" $BA
"TXA" $8A
"TXS" $9A
"TXY" $9B
"TYA" $98
"TYX" $BB
"WAI" $CB
"WDM x" $42
"XBA" $EB
"XCE" $FB
